Recettes,Ingrédients
Muffins aux clémentines.html,"['1  clémentine(s)', ""55 g poudre d'amandes"", '50 g compote de pommes', '1  oeuf(s)', '40 g huile(s) végétale(s)', '40 g farine', '1 c. à café poudre à lever']"
Muffins aux framboises et aux amandes.html,"['75 g farine ', ""40 g poudre d'amandes"", '1  oeuf(s)', '30 mL lait', '20 g huile(s) végétale(s)', '½ sachet(s) poudre à lever', '½  banane(s)', '2 poignée(s) framboises', '1 poignée(s) amandes effilées']"
Muffins banane myrtilles.html,"['100 g farine', '2  oeuf(s)', '50 g myrtilles', '1  banane(s)', '1 c. à café poudre à lever', '1 pincée(s) vanille en poudre']"
Muffins canneberges citron pavot.html,"['125 g canneberges', '100 mL lait', '100 g farine', '2  oeuf(s)', '½  citron(s)', ""50 g poudre d'amandes"", '20 g beurre', '2 c. à café graines de pavot', '1 c. à café poudre à lever']"
Muffins de banane plantain.html,"['2  banane(s) plantain', '3  oeuf(s)', '120 g farine de maïs', ""60 g farine d'avoine"", '3 c. à soupe huile(s) végétale(s)', '1 c. à café poudre à lever', '1 pincée vanille en poudre', ""  flocons d'avoine""]"
Muffins fondants ananas carotte et cannelle.html,"['125 g compote pomme ananas', '100 g carotte(s)', '90 g farine', '60 mL lait', ""45 g flocons d'avoine"", '40 g huile(s) végétale(s)', '1 c. à café poudre à lever', '1 pincée(s) cannelle']"
Muffins pomme amandes.html,"['100 g compote de pommes', ""25 g poudre d'amandes"", '25 g farine', '20 g beurre', '1 c. à café poudre à lever']"
Muffins pomme rhubarbe.html,"['150 g compote pomme rhubarbe', '100 g farine', '2  oeuf(s)', '1 c. à café poudre à lever', '1 pincée(s) vanille']"
Muffins sans oeufs aux mirabelles.html,"['150 g mirabelles', '60 mL lait', '60 g farine', '50 g compote de pommes', '1 c. à café huile(s) végétale(s)', '1 c. à café poudre à lever', '1 pincée(s) vanille']"
Muffins à la courge et aux épices.html,"['200 g courge', '125 g farine', '2  oeuf(s)', '70 g huile(s) végétale(s)', ""50 g sirop d'agave"", '40 g noisettes en poudre', '½ sachet(s) poudre à lever', '1 c. à café cannelle', '1 pincée muscade moulue']"
Oeufs de Pâques pour bébé (energy balls).html,"['10  dattes', '1 c. à soupe purée de noisettes', '1 c. à soupe compote de pommes', ""4 c. à soupe flocons d'avoine"", '2 c. à soupe noix de coco râpée']"
Oursons à la caroube.html,"['2  oeuf(s)', '100 g compote de pommes', '70 g farine', '40 mL huile(s) végétale(s)', '25 mL lait', '15 g poudre de caroube', '½ c. à soupe poudre à lever', '1 pincée(s) vanille en poudre']"
Pains d’épices fondants à la pomme et noisettes.html,"['2  pomme(s)', '50 g noisettes en poudre', '50 g farine', '2 c. à soupe huile(s) végétale(s)', '2 c. à café poudre à lever', '1 c. à café épices']"
Pancakes aux épinards pour bébé et grands (super facile).html,"['100 g flocons d’avoine', '30 g pousses d’épinards', '1  banane(s)', '100 mL lait', '1  oeuf(s)', '1 pincée(s) cannelle', '1 pincée(s) vanille en poudre', '1 c. à café poudre à lever']"
Pancakes poire noix de pécan.html,"['2  poire(s)', '1  oeuf(s)', ""30 g flocons d'avoine"", ""15 g poudre d'amandes"", '15 g noix de pécan', '1 c. à soupe fécule de maïs', '1 c. à café poudre à lever']"
Pancakes sans oeuf à la poire.html,"['100 g poire(s)', '60 g farine', '40 mL lait', '1 c. à café huile(s) végétale(s)', '1 pincée(s) vanille']"
Pancakes à la banane (sans oeufs).html,"['2  banane(s)', '125 g farine', '100 mL lait', '1 c. à café huile(s) végétale(s)']"
Panna cotta (au lait infantile).html,"['250 mL eau', '8 mesurettes lait infantile', '¼ c. à café agar-agar', '¼  gousse de vanille', '100 g compote de framboises']"
Papaye en morceaux.html,['100 g papaye(s)']
Pastèque à picorer.html,['  pastèque']
Perles du japon coco-fraises.html,"['100 mL lait de coco', '100 mL lait', '10 g perles du japon', '1 poignée(s) fraises']"
Perles du japon à la vanille (au lait infantile).html,"['20 g perles du japon', '250 mL eau', '8 mesurettes lait infantile', '½ gousse(s) vanille']"
Petits boudoirs pour bébé.html,"['150 g farine', '1  oeuf(s)', '50 g beurre', '40 g sucre de canne']"
Petits flans façon “pumpkin pie”.html,"['100 g potiron', '1  pomme(s)', '50 mL lait', '1  oeuf(s)', '1 c. à soupe fécule de maïs', '1 c. à café cannelle', '¼ gousse vanille']"
Poire en morceaux.html,['1  poire(s)']
Pomme cuite à la cannelle.html,"['1  pomme(s)', '1 pincée(s) cannelle']"
Pomme en morceaux.html,['1  pomme']
Porridge pour bébé (et toute la famille).html,"[""30 g flocons d'avoine"", '200 mL lait']"
Pruneaux lactés (au lait infantile).html,"['2  pruneaux', '90 mL eau', '3 mesurettes lait infantile', '1 c. à café fécule de maïs']"
Pudding de chia aux pêches.html,"['1 c. à soupe  graines de chia', '1 c. à soupe noix de coco râpée', '100 mL lait', '½  pêche']"
Pumpkin biscuits.html,"['120 g noisettes en poudre', '120 g purée de courge', '½ c. à café cannelle']"
Pumpkin Pie (tarte à la citrouille).html,"['200 g farine', '70 g beurre', '50 mL eau', '15 g sucre', '1 jaune(s) oeuf(s)', '300 g citrouille', '150 g crème fraîche', '2  oeuf(s)', '5  dattes', '1 c. à soupe fécule de maïs', '½ c. à café cannelle', '10 cL crème liquide', '60 g mascarpone', '1 pincée vanille en poudre']"
Pumpkin spice cookies.html,"[""130 g flocons d'avoine"", '120 g purée de courge', '1  banane(s)', '60 g purée d’amandes', '30 g pépites de chocolat', ""½ c. à café mélange à pain d'épices""]"
Pumpkin spice milk.html,"['240 mL lait', '50 g purée de courge', ""1 c. à café sirop d'érable"", ""½ c. à café mélange à pain d'épices""]"
Pâte à crêpes (pour bébé et toute la famille).html,"['80 g farine', '1  oeuf(s)', '10 g beurre', '150 ml lait']"
Pâtes de fruits (sans sucre).html,"['150 g fruits frais de saison', '1 g agar-agar']"
Pêche en morceaux.html,['1  pêche(s)']
Quatre-quarts citron pavot.html,"['1  oeuf(s)', '85 g farine', '85 g cassonade', '85 g fromage blanc', '½ sachet(s) poudre à lever', '1  citron(s)', '1 c. à soupe graines de pavot']"
Raisin en morceaux.html,['5 grains raisins']
Riz au lait pour bébé (et toute la famille).html,"['50 g riz rond', '500 mL lait', '1 gousse(s) vanille', '  compote de fruits']"
Sablés au citron.html,"['200 g farine', ""25 g poudre d'amandes"", '80 g beurre', '50 g sucre', '1  oeuf(s)', '1  citron(s)']"
Sablés aux framboises.html,"['200 g farine', '100 g framboises', '80 g beurre', '50 g sucre', ""25 g poudre d'amandes"", '1  oeuf(s)']"
Sablés à la mangue.html,"['200 g farine', ""25 g poudre d'amandes"", '80 g beurre', '50 g sucre glace', '1  oeuf(s)', '100 g mangue']"
Salade fraises et basilic.html,"['1 poignée(s) fraises', '1 feuille(s) basilic']"
Sapins moelleux aux épices et à la courge.html,"['150 g farine', '125 g courge', ""50 g poudre d'amandes"", '50 g compote de pommes', '10 g huile(s) végétale(s)', '½ c. à café bicarbonate de soude alimentaire', '½ c. à café cannelle', '1 pincée gingembre', ""  purée d'oléagineux""]"
Semoule au lait pour bébé (et toute la famille).html,"['30 g semoule fine', '300 mL lait', '½ gousse(s) vanille']"
Smoothie ananas banane tangor.html,"['50 g ananas', '50 g banane(s)', '½  tangor', '50 mL eau']"
Smoothie banane mangue orange.html,"['½  banane(s)', '50 g mangue', '½  orange(s)']"
Smoothie bowl à la fraise.html,"['½  banane', '5  fraises', '1 c. à soupe flocons d’avoine', '1 c. à café noix de coco râpée', '½ c. à café purée d’amandes']"
Smoothie grenade clémentine et canneberges.html,"['1  grenade', '200 g canneberges', '1  clémentine', '2 c. à soupe jus de citron']"
Smoothie grenade pamplemousse aux amandes.html,"['1  grenade', '1  banane(s)', '1  pamplemousse', ""25 g poudre d'amandes""]"
Sorbets pomme rhubarbe (glaces).html,"['1  pomme(s)', '1 tige(s) rhubarbe']"
Sorbets à l’ananas (glaces).html,['100 g ananas']
Soupe de pastèque à la framboise.html,"['80 g pastèque', '8  framboises']"
Suprêmes de pamplemousse.html,['1  pamplemousse']
Suprêmes d’orange.html,['1  orange(s)']
Tartare de mangue et crème à la vanille.html,"['100 g mangue', '100 g crème à la vanille']"
Tarte fine aux pommes (petits poissons).html,"['100 g farine', '2 c. à soupe huile(s) végétale(s)', '40 mL eau tiède', '100 g compote de pommes', '1  pomme(s)', '  cannelle', '2  raisins secs']"
